#Data Set Export - Rainfall.Continuous@A64871M,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1972-01-11 00:00:00,0.1,200,5,
1972-01-13 00:00:00,0,200,5,
1972-01-14 00:00:00,7.2,200,5,
1972-01-16 00:00:00,0,200,5,
1972-01-17 00:00:00,2,200,5,
1972-01-22 00:00:00,0,200,5,
1972-01-23 00:00:00,4.3,200,5,
1972-01-28 00:00:00,0,200,5,
1972-01-29 00:00:00,0.2,200,5,
1972-01-30 00:00:00,1.8,200,5,
1972-01-31 00:00:00,0,200,5,
1972-02-01 00:00:00,1,200,5,
1972-02-08 00:00:00,0,200,5,
1972-02-09 00:00:00,0,200,5,
1972-02-10 00:00:00,8,200,5,
1972-02-12 00:00:00,0,200,5,
1972-02-13 00:00:00,16,200,5,
1972-02-14 00:00:00,0,200,5,
1972-02-15 00:00:00,1.2,200,5,
1972-02-20 00:00:00,0,200,5,
1972-02-21 00:00:00,2.2,200,5,
1972-02-22 00:00:00,1,200,5,
1972-02-23 00:00:00,2.5,200,5,
1972-02-24 00:00:00,14.4,200,5,
1972-02-25 00:00:00,0.1,200,5,
1972-03-03 00:00:00,0,200,5,
1972-03-04 00:00:00,14.4,200,5,
1972-03-05 00:00:00,31.9,200,5,
1972-03-06 00:00:00,3.4,200,5,
1972-03-07 00:00:00,1.1,200,5,
1972-03-08 00:00:00,17.2,200,5,
1972-03-09 00:00:00,87.2,200,5,
1972-03-10 00:00:00,22.5,200,5,
1972-03-11 00:00:00,5,200,5,
1972-03-12 00:00:00,0.5,200,5,
1972-03-16 00:00:00,0,200,5,
1972-03-17 00:00:00,13.8,200,5,
1972-03-23 00:00:00,0,200,5,
1972-03-24 00:00:00,4.2,200,5,
1972-03-25 00:00:00,0.5,200,5,
1972-03-29 00:00:00,0,200,5,
1972-03-30 00:00:00,8.4,200,5,
1972-03-31 00:00:00,37,200,5,
1972-04-01 00:00:00,0,200,5,
1972-04-02 00:00:00,0.9,200,5,
1972-04-03 00:00:00,0.1,200,5,
1972-04-04 00:00:00,0.1,200,5,
1972-04-06 00:00:00,0,200,5,
1972-04-07 00:00:00,3,200,5,
1972-04-08 00:00:00,22.1,200,5,
1972-04-09 00:00:00,5.8,200,5,
1972-04-12 00:00:00,0,200,5,
1972-04-13 00:00:00,26,200,5,
1972-04-14 00:00:00,3.2,200,5,
1972-04-16 00:00:00,0,200,5,
1972-04-17 00:00:00,4.9,200,5,
1972-04-18 00:00:00,16.4,200,5,
1972-04-19 00:00:00,1,200,5,
1972-04-20 00:00:00,0.2,200,5,
1972-04-23 00:00:00,0,200,5,
1972-04-24 00:00:00,9.6,200,5,
1972-04-25 00:00:00,0,200,5,
1972-04-26 00:00:00,4.1,200,5,
1972-04-27 00:00:00,0.1,200,5,
1972-04-28 00:00:00,0.1,200,5,
1972-04-29 00:00:00,2.6,200,5,
1972-04-30 00:00:00,0.3,200,5,
1972-05-01 00:00:00,0.6,200,5,
1972-05-02 00:00:00,0.9,200,5,
1972-05-04 00:00:00,0,200,5,
1972-05-05 00:00:00,7.5,200,5,
1972-05-10 00:00:00,0,200,5,
1972-05-11 00:00:00,1.6,200,5,
1972-05-14 00:00:00,0,200,5,
1972-05-15 00:00:00,16.8,200,5,
1972-05-16 00:00:00,57.9,200,5,
1972-05-17 00:00:00,11.5,200,5,
1972-05-18 00:00:00,0.7,200,5,
1972-05-19 00:00:00,26.7,200,5,
1972-05-20 00:00:00,0.3,200,5,
1972-05-21 00:00:00,3.8,200,5,
1972-05-22 00:00:00,4.3,200,5,
1972-05-23 00:00:00,0,200,5,
1972-05-24 00:00:00,0.2,200,5,
1972-05-25 00:00:00,1.6,200,5,
1972-05-26 00:00:00,2.7,200,5,
1972-05-27 00:00:00,0.2,200,5,
1972-05-28 00:00:00,11.3,200,5,
1972-05-29 00:00:00,9.1,200,5,
1972-05-30 00:00:00,0.5,200,5,
1972-05-31 00:00:00,2.7,200,5,
1972-06-01 00:00:00,2,200,5,
1972-06-02 00:00:00,1,200,5,
1972-06-03 00:00:00,0.2,200,5,
1972-06-07 00:00:00,0,200,5,
1972-06-08 00:00:00,1.6,200,5,
1972-06-09 00:00:00,11.9,200,5,
1972-06-10 00:00:00,0.2,200,5,
1972-06-11 00:00:00,0.1,200,5,
1972-06-12 00:00:00,1.1,200,5,
1972-06-13 00:00:00,4.4,200,5,
1972-06-14 00:00:00,3.2,200,5,
1972-06-15 00:00:00,2.6,200,5,
1972-06-16 00:00:00,3.1,200,5,
1972-06-17 00:00:00,0.3,200,5,
1972-06-18 00:00:00,6.4,200,5,
1972-06-19 00:00:00,5,200,5,
1972-06-20 00:00:00,1.2,200,5,
1972-06-21 00:00:00,0.7,200,5,
1972-06-22 00:00:00,5.6,200,5,
1972-06-23 00:00:00,0,200,5,
1972-06-24 00:00:00,1.6,200,5,
1972-06-25 00:00:00,36.2,200,5,
1972-06-26 00:00:00,10.6,200,5,
1972-06-27 00:00:00,6.4,200,5,
1972-06-30 00:00:00,0,200,5,
1972-07-01 00:00:00,1.5,200,5,
1972-07-02 00:00:00,17.6,200,5,
1972-07-03 00:00:00,3.6,200,5,
1972-07-07 00:00:00,0,200,5,
1972-07-08 00:00:00,7.6,200,5,
1972-07-09 00:00:00,0.7,200,5,
1972-07-10 00:00:00,20.8,200,5,
1972-07-11 00:00:00,4.6,200,5,
1972-07-12 00:00:00,3.6,200,5,
1972-07-13 00:00:00,9.6,200,5,
1972-07-14 00:00:00,2.5,200,5,
1972-07-15 00:00:00,3.2,200,5,
1972-07-16 00:00:00,6.5,200,5,
1972-07-17 00:00:00,6,200,5,
1972-07-18 00:00:00,6.3,200,5,
1972-07-19 00:00:00,0.2,200,5,
1972-07-21 00:00:00,0,200,5,
1972-07-22 00:00:00,5.2,200,5,
1972-07-23 00:00:00,0,200,5,
1972-07-24 00:00:00,18.6,200,5,
1972-07-27 00:00:00,0,200,5,
1972-07-28 00:00:00,0.6,200,5,
1972-07-29 00:00:00,0.2,200,5,
1972-08-05 00:00:00,0,200,5,
1972-08-08 00:00:00,0,200,5,
1972-08-09 00:00:00,11,200,5,
1972-08-10 00:00:00,2.3,200,5,
1972-08-11 00:00:00,0,200,5,
1972-08-12 00:00:00,24,200,5,
1972-08-13 00:00:00,11.8,200,5,
1972-08-14 00:00:00,12.8,200,5,
1972-08-15 00:00:00,14.4,200,5,
1972-08-16 00:00:00,11.3,200,5,
1972-08-17 00:00:00,7.2,200,5,
1972-08-18 00:00:00,0.3,200,5,
1972-08-19 00:00:00,0,200,5,
1972-08-20 00:00:00,0.2,200,5,
1972-08-21 00:00:00,2.4,200,5,
1972-08-22 00:00:00,2.3,200,5,
1972-08-23 00:00:00,0,200,5,
1972-08-24 00:00:00,5.9,200,5,
1972-08-26 00:00:00,0,200,5,
1972-08-27 00:00:00,0.2,200,5,
1972-08-28 00:00:00,9.1,200,5,
1972-08-29 00:00:00,10,200,5,
1972-08-30 00:00:00,9,200,5,
1972-09-01 00:00:00,0,200,5,
1972-09-02 00:00:00,23.9,200,5,
1972-09-03 00:00:00,5.5,200,5,
1972-09-04 00:00:00,3.5,200,5,
1972-09-08 00:00:00,0,200,5,
1972-09-09 00:00:00,0.7,200,5,
1972-09-10 00:00:00,6.5,200,5,
1972-09-11 00:00:00,1.3,200,5,
1972-09-15 00:00:00,0,200,5,
1972-09-16 00:00:00,0.6,200,5,
1972-09-17 00:00:00,1.8,200,5,
1972-09-19 00:00:00,0,200,5,
1972-09-20 00:00:00,3.3,200,5,
1972-09-21 00:00:00,8.2,200,5,
1972-09-22 00:00:00,3.5,200,5,
1972-09-28 00:00:00,0,200,5,
1972-09-29 00:00:00,1.7,200,5,
1972-10-03 00:00:00,0,200,5,
1972-10-04 00:00:00,0.9,200,5,
1972-10-05 00:00:00,0.1,200,5,
1972-10-07 00:00:00,0,200,5,
1972-10-08 00:00:00,0.1,200,5,
1972-10-09 00:00:00,0.9,200,5,
1972-10-10 00:00:00,63.2,200,5,
1972-10-11 00:00:00,0.2,200,5,
1972-10-12 00:00:00,0,200,5,
1972-10-13 00:00:00,16.5,200,5,
1972-10-14 00:00:00,5.9,200,5,
1972-10-15 00:00:00,5.6,200,5,
1972-10-16 00:00:00,0,200,5,
1972-10-17 00:00:00,4.3,200,5,
1972-10-24 00:00:00,0,200,5,
1972-10-26 00:00:00,0,200,5,
1972-10-27 00:00:00,22,200,5,
1972-10-28 00:00:00,0.8,200,5,
1972-11-04 00:00:00,0,200,5,
1972-11-09 00:00:00,0,200,5,
1972-11-10 00:00:00,1.4,200,5,
1972-11-14 00:00:00,0,200,5,
1972-11-15 00:00:00,0.1,200,5,
1972-11-16 00:00:00,2.5,200,5,
1972-11-20 00:00:00,0,200,5,
1972-11-21 00:00:00,18.9,200,5,
1972-11-22 00:00:00,0.3,200,5,
1972-11-23 00:00:00,6.3,200,5,
1972-11-24 00:00:00,0.3,200,5,
1972-11-26 00:00:00,0,200,5,
1972-11-27 00:00:00,0.1,200,5,
1972-11-28 00:00:00,0,200,5,
1972-11-29 00:00:00,7.6,200,5,
1972-11-30 00:00:00,6.7,200,5,
1972-12-01 00:00:00,0.3,200,5,
1972-12-02 00:00:00,0.5,200,5,
1972-12-06 00:00:00,0,200,5,
1972-12-07 00:00:00,2.4,200,5,
1972-12-08 00:00:00,0,200,5,
1972-12-09 00:00:00,3.2,200,5,
1972-12-10 00:00:00,1.7,200,5,
1972-12-11 00:00:00,3.6,200,5,
1972-12-12 00:00:00,0.3,200,5,
1972-12-13 00:00:00,0.1,200,5,
1972-12-14 00:00:00,8.5,200,5,
1972-12-15 00:00:00,0.6,200,5,
1972-12-18 00:00:00,0,200,5,
1972-12-19 00:00:00,1,200,5,
1972-12-20 00:00:00,1.4,200,5,
1972-12-21 00:00:00,0.5,200,5,
1972-12-23 00:00:00,0,200,5,
1972-12-24 00:00:00,0.5,200,5,
1972-12-25 00:00:00,6.5,200,5,
1972-12-26 00:00:00,4.9,200,5,
1972-12-29 00:00:00,0,200,5,
1972-12-30 00:00:00,7.2,200,5,
1972-12-31 00:00:00,0,200,5,
1973-01-01 00:00:00,0.3,200,5,
1973-01-08 00:00:00,0,200,5,
1973-01-09 00:00:00,0.9,200,5,
1973-01-11 00:00:00,0,200,5,
1973-01-12 00:00:00,18.1,200,5,
1973-01-16 00:00:00,0,200,5,
1973-01-17 00:00:00,3.8,200,5,
1973-01-18 00:00:00,8.9,200,5,
1973-01-23 00:00:00,0,200,5,
1973-01-24 00:00:00,2.4,200,5,
1973-01-25 00:00:00,0.4,200,5,
1973-01-26 00:00:00,0,200,5,
1973-01-27 00:00:00,1.2,200,5,
1973-01-28 00:00:00,5.2,200,5,
1973-01-29 00:00:00,0,200,5,
1973-01-30 00:00:00,5.2,200,5,
1973-01-31 00:00:00,6.3,200,5,
1973-02-07 00:00:00,0,200,5,
1973-02-09 00:00:00,0,200,5,
1973-02-10 00:00:00,0.1,200,5,
1973-02-11 00:00:00,0,200,5,
1973-02-12 00:00:00,2.5,200,5,
1973-02-13 00:00:00,1.2,200,5,
1973-02-17 00:00:00,0,200,5,
1973-02-18 00:00:00,1.4,200,5,
1973-02-25 00:00:00,0,200,5,
1973-03-04 00:00:00,0,200,5,
1973-03-05 00:00:00,0,200,5,
1973-03-06 00:00:00,0.4,200,5,
1973-03-07 00:00:00,0.4,200,5,
1973-03-09 00:00:00,0,200,5,
1973-03-10 00:00:00,3.2,200,5,
1973-03-11 00:00:00,20,200,5,
1973-03-12 00:00:00,1.9,200,5,
1973-03-14 00:00:00,0,200,5,
1973-03-15 00:00:00,1.7,200,5,
1973-03-16 00:00:00,0.4,200,5,
1973-03-17 00:00:00,17.3,200,5,
1973-03-18 00:00:00,0,200,5,
1973-03-19 00:00:00,4.8,200,5,
1973-03-20 00:00:00,1.4,200,5,
1973-03-21 00:00:00,0.1,200,5,
1973-03-22 00:00:00,2,200,5,
1973-03-23 00:00:00,0,200,5,
1973-03-24 00:00:00,11.6,200,5,
1973-03-26 00:00:00,0,200,5,
1973-03-27 00:00:00,11.5,200,5,
1973-03-30 00:00:00,0,200,5,
1973-03-31 00:00:00,0.2,200,5,
1973-04-01 00:00:00,0,200,5,
1973-04-02 00:00:00,6.4,200,5,
1973-04-08 00:00:00,0,200,5,
1973-04-09 00:00:00,1.1,200,5,
1973-04-10 00:00:00,0,200,5,
1973-04-11 00:00:00,0.5,200,5,
1973-04-12 00:00:00,24.8,200,5,
1973-04-13 00:00:00,10.7,200,5,
1973-04-14 00:00:00,1.2,200,5,
1973-04-15 00:00:00,0.2,200,5,
1973-04-16 00:00:00,0.2,200,5,
1973-04-18 00:00:00,0,200,5,
1973-04-19 00:00:00,3.4,200,5,
1973-04-20 00:00:00,6.7,200,5,
1973-04-21 00:00:00,12.2,200,5,
1973-04-22 00:00:00,12,200,5,
1973-04-23 00:00:00,0,200,5,
1973-04-24 00:00:00,5.4,200,5,
1973-04-25 00:00:00,0.3,200,5,
1973-04-26 00:00:00,0.4,200,5,
1973-04-27 00:00:00,0,200,5,
1973-04-28 00:00:00,0.7,200,5,
1973-04-29 00:00:00,0,200,5,
1973-04-30 00:00:00,0.9,200,5,
1973-05-01 00:00:00,1.7,200,5,
1973-05-02 00:00:00,0,200,5,
1973-05-03 00:00:00,2.8,200,5,
1973-05-04 00:00:00,0,200,5,
1973-05-05 00:00:00,1.6,200,5,
1973-05-06 00:00:00,1,200,5,
1973-05-07 00:00:00,2,200,5,
1973-05-08 00:00:00,0.2,200,5,
1973-05-09 00:00:00,0.5,200,5,
1973-05-10 00:00:00,6.3,200,5,
1973-05-11 00:00:00,1.1,200,5,
1973-05-12 00:00:00,0.6,200,5,
1973-05-13 00:00:00,2.6,200,5,
1973-05-14 00:00:00,1.8,200,5,
1973-05-15 00:00:00,2.6,200,5,
1973-05-16 00:00:00,0,200,5,
1973-05-17 00:00:00,19.1,200,5,
1973-05-18 00:00:00,5.6,200,5,
1973-05-19 00:00:00,1.2,200,5,
1973-05-20 00:00:00,2.1,200,5,
1973-05-21 00:00:00,5.3,200,5,
1973-05-22 00:00:00,4.3,200,5,
1973-05-23 00:00:00,0.7,200,5,
1973-05-24 00:00:00,0,200,5,
1973-05-25 00:00:00,3.6,200,5,
1973-05-26 00:00:00,0.1,200,5,
1973-05-27 00:00:00,0,200,5,
1973-05-28 00:00:00,2.6,200,5,
1973-05-29 00:00:00,0,200,5,
1973-05-30 00:00:00,1.2,200,5,
1973-05-31 00:00:00,1,200,5,
1973-06-02 00:00:00,0,200,5,
1973-06-03 00:00:00,5.6,200,5,
1973-06-04 00:00:00,2.7,200,5,
1973-06-05 00:00:00,1.1,200,5,
1973-06-06 00:00:00,43.6,200,5,
1973-06-07 00:00:00,2.5,200,5,
1973-06-08 00:00:00,0.9,200,5,
1973-06-09 00:00:00,0.9,200,5,
1973-06-10 00:00:00,22.4,200,5,
1973-06-11 00:00:00,3.8,200,5,
1973-06-12 00:00:00,0.5,200,5,
1973-06-13 00:00:00,0,200,5,
1973-06-14 00:00:00,53.6,200,5,
1973-06-21 00:00:00,0,200,5,
1973-06-23 00:00:00,0,200,5,
1973-06-24 00:00:00,1.1,200,5,
1973-06-25 00:00:00,37.7,200,5,
1973-06-26 00:00:00,0.6,200,5,
1973-06-27 00:00:00,12.3,200,5,
1973-06-28 00:00:00,4.6,200,5,
1973-06-29 00:00:00,0.3,200,5,
1973-07-06 00:00:00,0,200,5,
1973-07-07 00:00:00,7.7,200,5,
1973-07-08 00:00:00,0,200,5,
1973-07-09 00:00:00,0.2,200,5,
1973-07-14 00:00:00,0,200,5,
1973-07-15 00:00:00,0.2,200,5,
1973-07-16 00:00:00,0.2,200,5,
1973-07-17 00:00:00,9.1,200,5,
1973-07-18 00:00:00,1.5,200,5,
1973-07-19 00:00:00,0.1,200,5,
1973-07-21 00:00:00,0,200,5,
1973-07-22 00:00:00,1.4,200,5,
1973-07-23 00:00:00,73.5,200,5,
1973-07-24 00:00:00,5.9,200,5,
1973-07-25 00:00:00,4.9,200,5,
1973-07-26 00:00:00,9.1,200,5,
1973-08-02 00:00:00,0,200,5,
1973-08-03 00:00:00,5.1,200,5,
1973-08-04 00:00:00,1,200,5,
1973-08-05 00:00:00,0,200,5,
1973-08-06 00:00:00,18.6,200,5,
1973-08-07 00:00:00,0.5,200,5,
1973-08-08 00:00:00,0,200,5,
1973-08-09 00:00:00,13.9,200,5,
1973-08-10 00:00:00,0.3,200,5,
1973-08-11 00:00:00,0,200,5,
1973-08-12 00:00:00,0.8,200,5,
1973-08-13 00:00:00,20.3,200,5,
1973-08-14 00:00:00,1.7,200,5,
1973-08-15 00:00:00,2.2,200,5,
1973-08-16 00:00:00,0,200,5,
1973-08-17 00:00:00,6.2,200,5,
1973-08-18 00:00:00,2,200,5,
1973-08-19 00:00:00,0.3,200,5,
1973-08-20 00:00:00,11.5,200,5,
1973-08-21 00:00:00,0.3,200,5,
1973-08-22 00:00:00,2.2,200,5,
1973-08-23 00:00:00,22.2,200,5,
1973-08-24 00:00:00,0,200,5,
1973-08-25 00:00:00,1.1,200,5,
1973-08-26 00:00:00,0,200,5,
1973-08-27 00:00:00,1.9,200,5,
1973-08-28 00:00:00,1.2,200,5,
1973-08-30 00:00:00,0,200,5,
1973-08-31 00:00:00,10.4,200,5,
1973-09-01 00:00:00,2.2,200,5,
1973-09-02 00:00:00,5.7,200,5,
1973-09-03 00:00:00,0.8,200,5,
1973-09-04 00:00:00,11.2,200,5,
1973-09-05 00:00:00,0.2,200,5,
1973-09-06 00:00:00,0,200,5,
1973-09-07 00:00:00,0.7,200,5,
1973-09-08 00:00:00,20.1,200,5,
1973-09-09 00:00:00,6.3,200,5,
1973-09-10 00:00:00,0.6,200,5,
1973-09-11 00:00:00,0,200,5,
1973-09-12 00:00:00,1.2,200,5,
1973-09-13 00:00:00,1.4,200,5,
1973-09-16 00:00:00,0,200,5,
1973-09-17 00:00:00,5.5,200,5,
1973-09-18 00:00:00,11.7,200,5,
1973-09-19 00:00:00,19.8,200,5,
1973-09-20 00:00:00,0.8,200,5,
1973-09-21 00:00:00,1.2,200,5,
1973-09-22 00:00:00,10,200,5,
1973-09-23 00:00:00,0.5,200,5,
1973-09-24 00:00:00,0,200,5,
1973-09-25 00:00:00,14.5,200,5,
1973-09-26 00:00:00,0.1,200,5,
1973-09-27 00:00:00,0,200,5,
1973-09-28 00:00:00,5.5,200,5,
1973-09-29 00:00:00,30.9,200,5,
1973-09-30 00:00:00,4.8,200,5,
1973-10-01 00:00:00,0,200,5,
1973-10-02 00:00:00,0.2,200,5,
1973-10-03 00:00:00,1.5,200,5,
1973-10-04 00:00:00,1.5,200,5,
1973-10-07 00:00:00,0,200,5,
1973-10-08 00:00:00,5.1,200,5,
1973-10-09 00:00:00,0.1,200,5,
1973-10-14 00:00:00,0,200,5,
1973-10-15 00:00:00,15.5,200,5,
1973-10-16 00:00:00,2.8,200,5,
1973-10-17 00:00:00,0.4,200,5,
1973-10-18 00:00:00,0,200,5,
1973-10-19 00:00:00,4.2,200,5,
1973-10-20 00:00:00,0.4,200,5,
1973-10-21 00:00:00,0.2,200,5,
1973-10-22 00:00:00,0,200,5,
1973-10-23 00:00:00,19.9,200,5,
1973-10-24 00:00:00,0.7,200,5,
1973-10-25 00:00:00,0,200,5,
1973-10-26 00:00:00,4.3,200,5,
1973-10-27 00:00:00,0.8,200,5,
1973-10-28 00:00:00,2.6,200,5,
1973-10-31 00:00:00,0,200,5,
1973-11-01 00:00:00,0.7,200,5,
1973-11-02 00:00:00,4.6,200,5,
1973-11-03 00:00:00,1,200,5,
1973-11-04 00:00:00,5,200,5,
1973-11-05 00:00:00,3.6,200,5,
1973-11-08 00:00:00,0,200,5,
1973-11-09 00:00:00,0.8,200,5,
1973-11-10 00:00:00,0.2,200,5,
1973-11-11 00:00:00,0,200,5,
1973-11-12 00:00:00,4.4,200,5,
1973-11-13 00:00:00,9.2,200,5,
1973-11-14 00:00:00,3.7,200,5,
1973-11-15 00:00:00,21.2,200,5,
1973-11-16 00:00:00,16.1,200,5,
1973-11-17 00:00:00,1.3,200,5,
1973-11-18 00:00:00,0.6,200,5,
1973-11-19 00:00:00,2.3,200,5,
1973-11-21 00:00:00,0,200,5,
1973-11-22 00:00:00,14.5,200,5,
1973-11-23 00:00:00,0,200,5,
1973-11-24 00:00:00,7.2,200,5,
1973-11-25 00:00:00,0.1,200,5,
1973-11-30 00:00:00,0,200,5,
1973-12-01 00:00:00,3,200,5,
1973-12-02 00:00:00,0.1,200,5,
1973-12-03 00:00:00,0.6,200,5,
1973-12-10 00:00:00,0,200,5,
1973-12-12 00:00:00,0,200,5,
1973-12-13 00:00:00,1.1,200,5,
1973-12-14 00:00:00,1.9,200,5,
1973-12-18 00:00:00,0,200,5,
1973-12-19 00:00:00,7.1,200,5,
1973-12-23 00:00:00,0,200,5,
1973-12-24 00:00:00,7.2,200,5,
1973-12-25 00:00:00,17.2,200,5,
1973-12-26 00:00:00,7.5,200,5,
1973-12-27 00:00:00,1.1,200,5,
1974-01-03 00:00:00,0,200,5,
1974-01-06 00:00:00,0,200,5,
1974-01-07 00:00:00,0.7,200,5,
1974-01-14 00:00:00,0,200,5,
1974-01-21 00:00:00,0,200,5,
1974-01-22 00:00:00,7.4,200,5,
1974-01-29 00:00:00,0,200,5,
1974-02-05 00:00:00,0,200,5,
1974-02-06 00:00:00,1.3,200,5,
1974-02-12 00:00:00,0,200,5,
1974-02-13 00:00:00,3.3,200,5,
1974-02-14 00:00:00,1.1,200,5,
1974-02-21 00:00:00,0,200,5,
1974-02-22 00:00:00,0,200,5,
1974-02-23 00:00:00,0.1,200,5,
1974-02-24 00:00:00,32.7,200,5,
1974-02-25 00:00:00,0.2,200,5,
1974-02-28 00:00:00,0,200,5,
1974-03-01 00:00:00,1.7,200,5,
1974-03-02 00:00:00,1,200,5,
1974-03-03 00:00:00,0.2,200,5,
1974-03-04 00:00:00,0,200,5,
1974-03-05 00:00:00,1.9,200,5,
1974-03-09 00:00:00,0,200,5,
1974-03-10 00:00:00,1.1,200,5,
1974-03-15 00:00:00,0,200,5,
1974-03-16 00:00:00,1.9,200,5,
1974-03-17 00:00:00,7.9,200,5,
1974-03-18 00:00:00,4.5,200,5,
1974-03-19 00:00:00,1.6,200,5,
1974-03-20 00:00:00,0,200,5,
1974-03-21 00:00:00,1.8,200,5,
1974-03-28 00:00:00,0,200,5,
1974-04-01 00:00:00,0,200,5,
1974-04-02 00:00:00,3,200,5,
1974-04-03 00:00:00,0.3,200,5,
1974-04-04 00:00:00,0,200,5,
1974-04-05 00:00:00,0.1,200,5,
1974-04-06 00:00:00,46.3,200,5,
1974-04-09 00:00:00,0,200,5,
1974-04-10 00:00:00,0.2,200,5,
1974-04-11 00:00:00,3.2,200,5,
1974-04-16 00:00:00,0,200,5,
1974-04-17 00:00:00,39.7,200,5,
1974-04-18 00:00:00,37,200,5,
1974-04-19 00:00:00,3.1,200,5,
1974-04-20 00:00:00,0,200,5,
1974-04-21 00:00:00,1.7,200,5,
1974-04-26 00:00:00,0,200,5,
1974-04-27 00:00:00,0.3,200,5,
1974-04-28 00:00:00,1.5,200,5,
1974-05-04 00:00:00,0,200,5,
1974-05-05 00:00:00,1,200,5,
1974-05-06 00:00:00,0.5,200,5,
1974-05-07 00:00:00,0.9,200,5,
1974-05-08 00:00:00,1.9,200,5,
1974-05-09 00:00:00,2.1,200,5,
1974-05-10 00:00:00,1.2,200,5,
1974-05-11 00:00:00,2.4,200,5,
1974-05-12 00:00:00,0.3,200,5,
1974-05-18 00:00:00,0,200,5,
1974-05-19 00:00:00,0.1,200,5,
1974-05-22 00:00:00,0,200,5,
1974-05-23 00:00:00,3.6,200,5,
1974-05-25 00:00:00,0,200,5,
1974-05-26 00:00:00,33.3,200,5,
1974-05-27 00:00:00,4.8,200,5,
1974-05-28 00:00:00,58,200,5,
1974-05-29 00:00:00,0,200,5,
1974-05-30 00:00:00,2.1,200,5,
1974-05-31 00:00:00,0.1,200,5,
1974-06-01 00:00:00,0,200,5,
1974-06-02 00:00:00,6.7,200,5,
1974-06-08 00:00:00,0,200,5,
1974-06-09 00:00:00,0.5,200,5,
1974-06-10 00:00:00,2.8,200,5,
1974-06-11 00:00:00,16.4,200,5,
1974-06-12 00:00:00,0.2,200,5,
1974-06-13 00:00:00,7.8,200,5,
1974-06-14 00:00:00,5.8,200,5,
1974-06-15 00:00:00,8.4,200,5,
1974-06-16 00:00:00,16.1,200,5,
1974-06-17 00:00:00,1.2,200,5,
1974-06-19 00:00:00,0,200,5,
1974-06-20 00:00:00,2,200,5,
1974-06-21 00:00:00,0,200,5,
1974-06-22 00:00:00,0.3,200,5,
1974-06-23 00:00:00,1.2,200,5,
1974-06-24 00:00:00,5.6,200,5,
1974-06-25 00:00:00,3.3,200,5,
1974-06-26 00:00:00,1.2,200,5,
1974-06-27 00:00:00,0,200,5,
1974-06-28 00:00:00,20,200,5,
1974-07-02 00:00:00,0,200,5,
1974-07-03 00:00:00,5,200,5,
1974-07-04 00:00:00,0.2,200,5,
1974-07-05 00:00:00,0.3,200,5,
1974-07-08 00:00:00,0,200,5,
1974-07-09 00:00:00,2.2,200,5,
1974-07-10 00:00:00,13.7,200,5,
1974-07-11 00:00:00,9.3,200,5,
1974-07-12 00:00:00,16.2,200,5,
1974-07-13 00:00:00,2.2,200,5,
1974-07-14 00:00:00,0.5,200,5,
1974-07-15 00:00:00,0.3,200,5,
1974-07-16 00:00:00,0,200,5,
1974-07-17 00:00:00,0.2,200,5,
1974-07-18 00:00:00,1.7,200,5,
1974-07-19 00:00:00,0,200,5,
1974-07-20 00:00:00,7.7,200,5,
1974-07-21 00:00:00,8.8,200,5,
1974-07-22 00:00:00,4.9,200,5,
1974-07-23 00:00:00,4,200,5,
1974-07-24 00:00:00,5.5,200,5,
1974-07-25 00:00:00,7.7,200,5,
1974-07-26 00:00:00,5.1,200,5,
1974-07-27 00:00:00,4.8,200,5,
1974-07-28 00:00:00,3.5,200,5,
1974-07-29 00:00:00,3.8,200,5,
1974-07-30 00:00:00,9.6,200,5,
1974-07-31 00:00:00,9.3,200,5,
1974-08-01 00:00:00,2.3,200,5,
1974-08-02 00:00:00,5.2,200,5,
1974-08-03 00:00:00,2.7,200,5,
1974-08-04 00:00:00,0.9,200,5,
1974-08-05 00:00:00,5.8,200,5,
1974-08-06 00:00:00,10.1,200,5,
1974-08-07 00:00:00,2.2,200,5,
1974-08-08 00:00:00,0,200,5,
